HAR01	HAR 0.5 cm
HAR41	HAR 40.5 cm
POK01	POK 0.25 cm
POK09	POK 4.25 cm
POK17	POK 8.25 cm
POK21	POK 10.25 cm
POK29	POK 14.25 cm
POK38	POK 22.5 cm
OJA01	OJA 0.5 cm
OJA15	OJA 14.5 cm
OJA21	OJA 20.5 cm
OJA45	OJA 44.5 cm
PAI01	PAI 0.5 cm
PAI04	PAI 3.5 cm
PAI09	PAI 8.5 cm
AQT01	AQT 0.25 cm
AQT03	AQT 10.25 cm
AQT04	AQT 22.25 cm
PUL01	PUL 0.5 cm
PUL06	PUL 5.5. cm
PUL10	PUL 9.5 cm
KEV01	KEV 2.4 cm
KEV08	KEV 61 cm
KEV10	KEV 85.5 cm
LAH01	LAH 0.5 cm
LAH07	LAH 6.5 cm
LAH11	LAH 10.5 cm
VUO01	VUO 0.5 cm
VUO05	VUO 4.5 cm
VUO07	VUO 6.5 cm
